Input Query,Input Expected Name,Actual Product Name,Input Expected SKU,Actual SKU,Input Expected Position,Actual Position,Position Match,First Page Count,First Page Coverage %,NDCG Score,NDCG@5,NDCG@10,NDCG@20
"5c collet set","Pratt Burnerd America 0123-SET-7 | Crawford 8pc 5C Collet Set- 1/8"" - 1"" X 8ths","Pratt Burnerd America 0123-SET-7 | Crawford 8pc 5C Collet Set- 1/8"" - 1"" X 8ths","55000147","55000147","7","7","Match","","","","","",""
"5c collet set","All Industrial 41284 | 57pc 5C Collet Set Fractional 1/8"" to 1"" High Precision Lathe","All Industrial 41284 | 57pc 5C Collet Set Fractional 1/8"" to 1"" High Precision Lathe","40000389","40000389","8","8","Match","","","","","",""
"5c collet set","All Industrial 41287 | 23pc 5C Collet Set Metric 3mm to 25mm High Precision Lathe","All Industrial 41287 | 23pc 5C Collet Set Metric 3mm to 25mm High Precision Lathe","40000390","40000390","9","9","Match","","","","","",""
"5c collet set","Colton Industrial Tools 20751 | 70 Piece Set Hardened alloy steel 5C Collet Set 1/16""-1-1/8"" Range by 64ths","Colton Industrial Tools 20751 | 70 Piece Set Hardened alloy steel 5C Collet Set 1/16""-1-1/8"" Range by 64ths","55068746","55068746","10","10","Match","","","","","",""
"5c collet set","All Industrial 41214 | 3pc 2, 3 & 4"" 5C Step Collet Set","Edge Technology 45-000 | 6 Piece 5C Collet Stop Set","55009367","55009450","11","12","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 510-SET-08 | 5C Round Collet Set - 8 Piece","All Industrial 41214 | 3pc 2, 3 & 4"" 5C Step Collet Set","55090384","55009367","12","13","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 510-SET-09 | 5C Round Collet Set - 9 Piece","Lyndex-Nikken 510-SET-08 | 5C Round Collet Set - 8 Piece","55090385","55090384","13","14","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 510-SET-09S | 5C Round Collet Set - 9 Piece","Lyndex-Nikken 510-SET-09 | 5C Round Collet Set - 9 Piece","55090386","55090385","14","15","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 510-SET-15 | 5C Round Collet Set - 15 Piece","Lyndex-Nikken 510-SET-09S | 5C Round Collet Set - 9 Piece","55090387","55090386","15","16","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 510-SET-16 | 5C Round Collet Set - 16 Piece","Lyndex-Nikken 510-SET-15 | 5C Round Collet Set - 15 Piece","55090388","55090387","16","17","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 510-SET-16S | 5C Round Collet Set - 16 Piece","Lyndex-Nikken 510-SET-16 | 5C Round Collet Set - 16 Piece","55090389","55090388","17","18","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 510-SET-17 | 5C Round Collet Set - 17 Piece","Lyndex-Nikken 510-SET-16S | 5C Round Collet Set - 16 Piece","55090390","55090389","18","19","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 510-SET-18 | 5C Round Collet Set - 18 Piece","Lyndex-Nikken 510-SET-17 | 5C Round Collet Set - 17 Piece","55090391","55090390","19","20","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 510-SET-24-MM | 5C Round Collet Set - 24 Piece","Lyndex-Nikken 510-SET-18 | 5C Round Collet Set - 18 Piece","55090392","55090391","20","21","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 580-SET-06-SQ | 5C Square Collet Set - 6 Piece","Lyndex-Nikken 510-SET-24-MM | 5C Round Collet Set - 24 Piece","55090407","55090392","21","22","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 580-SET-07-HEX | 5C Hex Collet Set - 7 Piece","Lyndex-Nikken 580-SET-06-SQ | 5C Square Collet Set - 6 Piece","55090408","55090407","22","23","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 580-SET-11-SQ | 5C Square Collet Set - 11 Piece","Lyndex-Nikken 580-SET-07-HEX | 5C Hex Collet Set - 7 Piece","55090409","55090408","23","24","Mismatch","","","","","",""
"5c collet set","Lyndex-Nikken 580-SET-13-HEX | 5C Hex Collet Set - 13 Piece","Lyndex-Nikken 580-SET-11-SQ | 5C Square Collet Set - 11 Piece","55090410","55090409","24","25","Mismatch","","","","","",""
"5c collet set","","Lyndex-Nikken 580-SET-13-HEX | 5C Hex Collet Set - 13 Piece","","55090410","25","","","","","","","",""
"5c collet set","","All Industrial 41370 | 5C Collet Block Set- Square, Hex, Rings & Collet Closer Holder","","40000393","26","","","","","","","",""
"5c collet set","","Colton Industrial Tools 20700 | 31 Piece Ultra Precision 5C Round Collet Set, 1/16"" - 1"" x 1/32"" Increments, 0.0005"" Accuracy","","55026391","27","","","","","","","",""
"5c collet set","","Colton Industrial Tools 20710 | 16 Piece Ultra Precision 5C Round Collet Set, 1/16"" - 1"" x 1/16"" Increments, 0.0005"" Accuracy","","55026392","28","","","","","","","",""
"5c collet set","","Colton Industrial Tools 20705 | 8 Piece Ultra Precision 5C Round Collet Set, 1/8"" - 1"" x 1/8"" Increments, 0.0005"" Accuracy","","55029670","29","","","","","","","",""
"5c collet set","","Colton Industrial Tools 20752 | 45 Piece Ultra Precision 5C Round Collet Set, 1/32"" - 1"" x 1/64"" Increments Up to 1/2"" x 1/32 from 17/32-1"", 0.0005"" Accuracy","","55068745","30","","","","","","","",""
"5c collet set","","All Industrial 41180 | 5C Round Collet 8pc Set 1/8-1"" X 8ths Tooling for Lathes & Fixtures CNC","","40000383","31","","","","","","","",""
"5c collet set","","All Industrial 41181 | 5C Round Collet 11pc Set 1/8-3/4"" X 16ths Tooling for Lathes & Fixtures CNC","","40000384","32","","","","","","","",""
"5c collet set","","Pramet ER16.C.SET10.WP | Collet Set","","55036288","33","","","","","","","",""
"5c collet set","","Pramet ER25.C.SET15.WP | Collet Set","","55036289","34","","","","","","","",""
"5c collet set","","Pramet ER32.C.SET18.WP | Collet Set","","55036290","35","","","","","","","",""
"5c collet set","","Pramet ER40.C.SET23.WP | Collet Set","","55036291","36","","","","","","","",""
"5c collet set","","Pramet ER32.C.SET15.S.WP | Collet Set","","55036280","37","","","","","","","",""
"5c collet set","","Aloris DA-5C | Collet Holder","","40000234","38","","","","","","","",""
"5c collet set","","Aloris CA-5C | Collet Holder","","40000176","39","","","","","","","",""
"5c collet set","","Aloris CXA-5C | Collet Holder","","40000204","40","","","","","","","",""
"5c collet set","","Aloris AXA-5C | Collet Holder","","40000116","41","","","","","","","",""
"5c collet set","","Aloris BXA-5C | Collet Holder","","40000144","42","","","","","","","",""
"5c collet set","","YG1 ER11S05S | ER11 Collet Set","","55008391","43","","","","","","","",""
"5c collet set","","YG1 ER16S12 | ER16 Collet Set","","55008394","44","","","","","","","",""
"5c collet set","","YG1 ER20S13S | ER20 Collet Set","","55008395","45","","","","","","","",""
"5c collet set","","YG1 ER25S17S | ER20 Collet Set","","55008397","46","","","","","","","",""
"5c collet set","","YG1 ER32S21S | ER32 Collet Set","","55008399","47","","","","","","","",""
"5c collet set","","YG1 ER40S29S | ER40 Collet Set","","55008401","48","","","","","","","",""


"5th axis","5th Axis R96-CERX-40 | RockLock 96 mm Top Tooling","5th Axis R96-CERX-40 | RockLock 96 mm Top Tooling","50008335","50008335","1","1","Match","24 of 24","100.0%","0.9951","1.0000","1.0000","0.9573"
"5th axis","5th Axis WS | Adjustable Work Stop for Vise Jaws","5th Axis WS | Adjustable Work Stop for Vise Jaws","50008282","50008282","2","2","Match","","","","","",""
"5th axis","5th Axis VSJ52X | Steel Machinable Soft Jaw - (1 Pair)","5th Axis VSJ52X | Steel Machinable Soft Jaw - (1 Pair)","50008281","50008281","3","3","Match","","","","","",""
"5th axis","5th Axis V510X | 45 Degree x 125.70mm Width Self-Centering Vise","5th Axis V510X | 45 Degree x 125.70mm Width Self-Centering Vise","50009360","50009360","4","4","Match","","","","","",""
"5th axis","5th Axis V562X | 45 Degree x 125.70mm Width Self-Centering Vise","5th Axis V562X | 45 Degree x 125.70mm Width Self-Centering Vise","50009361","50009361","5","5","Match","","","","","",""
"5th axis","5th Axis V75100X | 45 Degree x 75.00mm Width Compact Self-Centering Vise","5th Axis V75100X | 45 Degree x 75.00mm Width Compact Self-Centering Vise","50008229","50008229","6","6","Match","","","","","",""
"5th axis","5th Axis V75150X | 45 Degree x 75.00mm Width Compact Self-Centering Vise","5th Axis V75150X | 45 Degree x 75.00mm Width Compact Self-Centering Vise","50009362","50009362","7","7","Match","","","","","",""
"5th axis","5th Axis RL96A-356 | RockLock 96 mm Riser with 4x PS20F - Aluminum","5th Axis RL96A-356 | RockLock 96 mm Riser with 4x PS20F - Aluminum","50008170","50008170","8","8","Match","","","","","",""
"5th axis","5th Axis RL96S-356 | RockLock 96 mm Riser with 4x PS20F - Steel","5th Axis RL96S-356 | RockLock 96 mm Riser with 4x PS20F - Steel","50008171","50008171","9","9","Match","","","","","",""
"5th axis","5th Axis RL96-KD688 | RockLock 96 mm Top Tooling Adapter for Kurt D688","5th Axis RL96-KD688 | RockLock 96 mm Top Tooling Adapter for Kurt D688","50008219","50008219","10","10","Match","","","","","",""
"5th axis","5th Axis DV510-J4 | 45 Degree x 125.70mm Width Double Station Machine Vise","5th Axis DV510-J4 | 45 Degree x 125.70mm Width Double Station Machine Vise","50008248","50008248","11","11","Match","","","","","",""
"5th axis","5th Axis DV56-J1 | 45 Degree x 75.00mm Width Double Station Machine Vise","5th Axis DV56-J1 | 45 Degree x 75.00mm Width Double Station Machine Vise","50008242","50008242","12","12","Match","","","","","",""
"5th axis","5th Axis RL52A-4 | RockLock 52mm Low Profile Base, 116mm Diameter, Aluminum, DIY Mounting","5th Axis RL52A-4 | RockLock 52mm Low Profile Base, 116mm Diameter, Aluminum, DIY Mounting","50008110","50008110","13","13","Match","","","","","",""
"5th axis","5th Axis DV75150X-J1 | 45 Degree x 75.00mm Width Small Double Station Machine Vise","5th Axis DV75150X-J1 | 45 Degree x 75.00mm Width Small Double Station Machine Vise","50008239","50008239","14","14","Match","","","","","",""
"5th axis","5th Axis RL52S-4560 | RockLock 52mm Low Profile Base, 4"" x 5"", Steel, 60 Degree","5th Axis RL52A-4-12 | RockLock 52mm Low Profile Base, 116mm Diameter, Aluminum, M12 at 75mm","50008120","50008112","15","17","Mismatch","","","","","",""
"5th axis","5th Axis RL52A-4-12 | RockLock 52mm Low Profile Base, 116mm Diameter, Aluminum, M12 at 75mm","5th Axis DV75150X-MJ-A | Double Station Machinable Soft Jaw - Aluminum - Set of Three","50008112","50008297","16","15","Mismatch","","","","","",""
"5th axis","5th Axis RL52A-4-TRT100 | RockLock 52mm Low Profile Base, 116mm Diameter, Aluminum, Haas TRT100 (83mm)","5th Axis RL52S-4560 | RockLock 52mm Low Profile Base, 4"" x 5"", Steel, 60 Degree","50008115","50008120","17","18","Mismatch","","","","","",""
"5th axis","5th Axis RL52A-44 | RockLock 52mm Low Profile Base, 4"" x 4"", Aluminum, 82mm Square","5th Axis RL52A-4-TRT100 | RockLock 52mm Low Profile Base, 116mm Diameter, Aluminum, Haas TRT100 (83mm)","50008116","50008115","18","19","Mismatch","","","","","",""
"5th axis","5th Axis RL52A-4560 | RockLock 52mm Low Profile Base, 4"" x 5"", Aluminum, 60 Degree","5th Axis RL52A-44 | RockLock 52mm Low Profile Base, 4"" x 4"", Aluminum, 82mm Square","50008119","50008116","19","20","Mismatch","","","","","",""
"5th axis","5th Axis RL96S-56 | RockLock 96 mm Low Profile Base - Steel -5"" x 6""","5th Axis RL52A-4560 | RockLock 52mm Low Profile Base, 4"" x 5"", Aluminum, 60 Degree","50008143","50008119","20","21","Mismatch","","","","","",""
"5th axis","5th Axis RL96A-3613S2 | RockLock 96 mm Multiposition Base - Aluminum - 6"" x 13""","5th Axis RL96S-56 | RockLock 96 mm Low Profile Base - Steel -5"" x 6""","50008163","50008143","21","22","Mismatch","","","","","",""
"5th axis","5th Axis DV75150X-MJ-A | Double Station Machinable Soft Jaw - Aluminum - Set of Three","5th Axis RL96A-3613S2 | RockLock 96 mm Multiposition Base - Aluminum - 6"" x 13""","50008297","50008163","22","16","Mismatch","","","","","",""
"5th axis","5th Axis DV75150X-MJ-S | Double Station Machinable Soft Jaw - Steel - Set of Three","5th Axis DV75150X-MJ-S | Double Station Machinable Soft Jaw - Steel - Set of Three","50008298","50008298","23","23","Match","","","","","",""
"5th axis","5th Axis DV56-MJ-A | Double Station Machinable Soft Jaw - Aluminum - Set of Three","5th Axis DV56-MJ-A | Double Station Machinable Soft Jaw - Aluminum - Set of Three","50008299","50008299","24","24","Match","","","","","",""


"4 jaw chuck","STM 4445803 | 5"" Size 4 Jaw Cast Iron Manual Lathe Chuck","STM 4445804 | 6"" Size 4 Jaw Cast Iron Manual Lathe Chuck","50034563","50034564","1","9","Mismatch","9 of 9","100.0%","1.0000","1.0000","1.0000","1.0000"
"4 jaw chuck","STM 4445804 | 6"" Size 4 Jaw Cast Iron Manual Lathe Chuck","STM 4445805 | 8"" Size 4 Jaw Cast Iron Manual Lathe Chuck","50034564","50034565","2","1","Mismatch","","","","","",""
